<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>
10/09/2018,103040,103040,103040,103040
10/09/2018,103050,103220,103050,103170
10/09/2018,103220,103220,103220,103220
10/09/2018,103220,103300,103150,103180
10/09/2018,103190,103190,103190,103190
10/09/2018,103150,103210,103150,103210
10/09/2018,103170,103170,103170,103170
10/09/2018,103170,103170,103170,103170
10/09/2018,103170,103170,103160,103170
10/09/2018,103170,103170,103170,103170
10/09/2018,103170,103170,103170,103170
10/09/2018,103290,103290,103230,103230
10/09/2018,103220,103220,103220,103220
10/09/2018,103190,103200,103190,103200
10/09/2018,103230,103230,103220,103220
10/09/2018,103180,103180,103180,103180
10/09/2018,103150,103150,103150,103150
10/09/2018,103150,103150,103150,103150
10/09/2018,103170,103170,103170,103170
10/09/2018,103160,103160,103160,103160
10/09/2018,103100,103100,103100,103100
10/09/2018,103100,103100,103100,103100
10/09/2018,103070,103070,103070,103070
10/09/2018,103100,103100,103100,103100
10/09/2018,103100,103100,103100,103100
10/09/2018,103100,103100,103100,103100
10/09/2018,103100,103100,103100,103100
10/09/2018,103080,103080,103080,103080
10/09/2018,103050,103050,103050,103050
10/09/2018,103040,103040,103040,103040
10/09/2018,103010,103010,103010,103010
10/09/2018,103060,103090,103060,103090
10/09/2018,103010,103010,103010,103010
10/09/2018,103050,103050,103050,103050
10/09/2018,103030,103030,103030,103030
10/09/2018,103050,103050,103050,103050
10/09/2018,103040,103040,103040,103040
10/09/2018,103110,103110,103090,103090
10/09/2018,103130,103140,103130,103140
10/09/2018,103100,103100,103100,103100
10/09/2018,103080,103080,103080,103080
10/09/2018,103000,103020,103000,103020
10/09/2018,103000,103000,103000,103000
10/09/2018,102960,103230,102680,102680
08/10/2018,116270,116270,115030,115120
08/10/2018,115140,115140,114870,114950
08/10/2018,114950,114990,114860,114930
08/10/2018,114930,114960,114810,114890
08/10/2018,114890,114950,114760,114940
08/10/2018,114940,114950,114770,114860
08/10/2018,114850,114890,114770,114820
08/10/2018,114850,114910,114800,114880
08/10/2018,114880,114950,114850,114910
08/10/2018,114900,114950,114800,114810
08/10/2018,114820,114920,114780,114890
08/10/2018,114890,114950,114880,114940
08/10/2018,114920,114940,114850,114890
08/10/2018,114890,114900,114710,114730
08/10/2018,114730,114730,114460,114490
08/10/2018,114480,114710,114420,114700
08/10/2018,114700,114720,114530,114540
08/10/2018,114530,114570,114420,114560
08/10/2018,114570,114630,114550,114560
08/10/2018,114570,114650,114480,114640
08/10/2018,114640,114650,114580,114620
08/10/2018,114610,114720,114580,114690
08/10/2018,114690,114780,114680,114740
08/10/2018,114730,114740,114680,114680
08/10/2018,114690,114770,114690,114740
08/10/2018,114730,114760,114710,114710
08/10/2018,114710,114720,114660,114690
08/10/2018,114690,114690,114520,114560
08/10/2018,114570,114680,114570,114670
08/10/2018,114670,114730,114650,114670
