<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
SBER;D;241115;000000;249.4;254.43;248.05;253.43;44169640
SBER;D;241118;000000;249.09;251.94;247.3;248.72;51127080
SBER;D;241119;000000;249.05;249.83;239.62;240.59;75453920
SBER;D;241120;000000;241.8;243.59;234.74;237.05;70236990
SBER;D;241121;000000;237.16;240.94;234;240.47;75052950
SBER;D;241122;000000;240.55;241;234.78;236;45501870
SBER;D;241125;000000;236;237.1;227.25;227.81;76358230
SBER;D;241126;000000;227.81;231.9;221.2;223.16;96738220
SBER;D;241127;000000;223.88;226.47;219.2;226.3;112401690
SBER;D;241128;000000;227.06;229.5;222.48;228.56;67717140
SBER;D;241129;000000;228.48;236.99;227.55;236.49;70247610
SBER;D;241202;000000;237.09;238.7;234.32;235.17;45050170
SBER;D;241203;000000;235.29;235.97;230.26;230.8;45313800
SBER;D;241204;000000;231.05;233.79;224.3;224.55;72374990
SBER;D;241205;000000;224.6;233.75;222.82;233.48;86902200
SBER;D;241206;000000;233.63;238.25;231.52;237.84;81003410
SBER;D;241209;000000;239.27;240.51;236.75;237.29;52314320
SBER;D;241210;000000;238;238.01;230.65;230.82;58548350
SBER;D;241211;000000;230.5;234.39;229.22;234.19;64817940
SBER;D;241212;000000;234;235.95;228.52;229.02;59118900
SBER;D;241213;000000;228.89;231.33;227.85;228.7;46091280
SBER;D;241216;000000;228.6;229.05;224.38;225.53;54519260
SBER;D;241217;000000;225.58;227.49;223.72;226.5;45827690
SBER;D;241218;000000;226.72;230.8;224.33;230.15;58002020
SBER;D;241219;000000;230.17;234.99;227.71;229;123831990
SBER;D;241220;000000;229.32;258.98;228.03;257.6;235163880
SBER;D;241223;000000;260;270;256.51;264.9;162588610
SBER;D;241224;000000;264.93;266.79;261.02;264.34;83747800
SBER;D;241225;000000;263.64;273;260.31;271.69;125501440
SBER;D;241226;000000;272.02;274.25;269.1;269.56;75523970
SBER;D;241227;000000;269.69;272.16;268.57;271.2;52121690
SBER;D;241228;000000;271.37;273.99;270.4;272.83;39560080
SBER;D;241230;000000;273.99;279.49;273.7;279.43;52353840
SBER;D;250103;000000;279.99;280.41;271.8;272.25;42928720
SBER;D;250106;000000;270.88;274.41;270.07;274.37;28260720
SBER;D;250108;000000;273.39;277.87;273.09;277;26185200
SBER;D;250109;000000;276.89;278.77;270.73;271.8;52866520
SBER;D;250110;000000;272.32;279.53;270.27;278.77;71104590
SBER;D;250113;000000;280.65;284.75;278.6;279.8;66252420
SBER;D;250114;000000;279.82;282.36;277.41;279.85;45983040
SBER;D;250115;000000;280;282.82;276.06;282.77;52822640
SBER;D;250116;000000;283.72;284;281.18;281.8;49321630
SBER;D;250117;000000;282.2;284.64;280.19;283.53;51815780
SBER;D;250120;000000;285.11;286.23;277.61;278.19;67543880
SBER;D;250121;000000;279.39;281.85;276.32;281.85;40374630
SBER;D;250122;000000;281.94;284;280.2;280.36;47032130
SBER;D;250123;000000;280.79;280.79;277.35;280.49;38509890
SBER;D;250124;000000;281;282.75;279.25;280.74;32083360
SBER;D;250127;000000;280.72;280.97;275.01;275.23;39028630
SBER;D;250128;000000;275.25;279.26;274.01;278.35;39024990
SBER;D;250129;000000;277.95;282.18;277.12;280.36;39150990
SBER;D;250130;000000;280.37;282.5;280.36;281.97;28018670
SBER;D;250131;000000;281.83;284.11;280.27;280.73;40327370
SBER;D;250203;000000;280.21;280.35;278;279.55;30335260
SBER;D;250204;000000;279.55;281.41;275.7;277.4;23982810
SBER;D;250205;000000;277.3;283.89;275.34;282.88;43063150
SBER;D;250206;000000;283.89;288.92;282.09;287.15;69290140
SBER;D;250207;000000;287.66;288.9;285.08;285.81;27610110
SBER;D;250210;000000;287.64;294.55;287.61;289.94;72903060
SBER;D;250211;000000;290.42;294.1;289.3;294.06;55991750
SBER;D;250212;000000;294.3;314.4;291.3;314;185802940
SBER;D;250213;000000;315.61;318.72;307.2;310.1;116571990
SBER;D;250214;000000;315.59;317.84;303.06;309.87;126690930
SBER;D;250217;000000;314;319.55;312.31;319.5;84607980
SBER;D;250218;000000;319.9;320.92;310.21;312.95;84855800
SBER;D;250219;000000;313.53;317.25;311.01;315.91;50473290
SBER;D;250220;000000;315.91;317.96;314.02;315.05;33153140
SBER;D;250221;000000;315.48;316.69;312;314.74;32724140
SBER;D;250224;000000;314.93;316.4;313;316.03;35706150
SBER;D;250225;000000;316.03;318.59;315.62;316.97;38812180
SBER;D;250226;000000;317;317.45;308.31;310.22;73822090
SBER;D;250227;000000;310.22;312.45;305.43;307.1;60919290
SBER;D;250228;000000;306.01;310.4;304.05;309.63;65631160
SBER;D;250301;000000;309.84;310.94;309.47;310.11;1138430
SBER;D;250302;000000;309.5;309.63;306.8;307.44;1885110
SBER;D;250303;000000;306.45;307.92;300.2;305.5;66383120
SBER;D;250304;000000;306.43;318.5;306.14;316.4;88099480
SBER;D;250305;000000;316.5;318.3;313;313.56;57710050
SBER;D;250306;000000;313.63;317.43;313.57;315.18;31957120
SBER;D;250307;000000;315.3;321.87;310.69;316.92;110870150
SBER;D;250310;000000;317;320.63;316.37;317.57;39294670
SBER;D;250311;000000;317.78;321.98;315.57;319.69;64926270
SBER;D;250312;000000;319.8;320.9;315.8;318.39;41920410
SBER;D;250313;000000;318.39;320.5;312.5;316.37;78546460
SBER;D;250314;000000;315.91;321.1;314.12;320.51;51691040
SBER;D;250315;000000;320.69;321.3;319.82;320.74;1455280
SBER;D;250316;000000;320.52;323.5;320.52;323.44;5680630
SBER;D;250317;000000;323.45;326.97;322.62;326.02;58625040
SBER;D;250318;000000;326.19;329.77;323.82;324.06;72941970
SBER;D;250319;000000;324.49;326.88;322.3;325.3;39792530
SBER;D;250320;000000;325.41;326;321.8;324.05;42352140
SBER;D;250321;000000;324;326.08;322.15;323.26;28693860
SBER;D;250324;000000;323.26;323.94;318.51;319.47;33031030
SBER;D;250325;000000;320;322.2;314.65;319.8;48324870
SBER;D;250326;000000;320;320.88;315.01;315.23;20575860
SBER;D;250327;000000;315.8;317.16;311.95;311.96;36144680
SBER;D;250328;000000;311.95;313.65;305.65;308.04;51856020
SBER;D;250329;000000;307.8;308.3;302.64;303.89;5739820
SBER;D;250330;000000;303.2;305.3;298.8;299.22;9158830
SBER;D;250331;000000;300.07;310.88;300;309.72;48301070
SBER;D;250401;000000;310.01;312.9;302.7;303.24;46073820
SBER;D;250402;000000;303.22;306.5;301.21;306.11;40192400
SBER;D;250403;000000;306.28;309.2;296;302.09;52379750
SBER;D;250404;000000;303.55;304.37;284.4;285.35;88534980
SBER;D;250405;000000;285.25;287.03;280.11;284.98;14100160
SBER;D;250406;000000;285.35;290.47;284.22;290.35;8755880
SBER;D;250407;000000;285.3;294;275.76;287.56;125059850
SBER;D;250408;000000;290;294.66;281.5;282.03;65473560
SBER;D;250409;000000;280.91;294.48;276.33;293.4;109320240
SBER;D;250410;000000;294.09;296.75;288.27;292.46;62750700
SBER;D;250411;000000;292.8;300.48;292.8;299.81;50415310
SBER;D;250412;000000;300.18;301.8;300.03;300.95;4615240
SBER;D;250413;000000;300.88;301.99;300.01;301.49;4079210
SBER;D;250414;000000;301.49;302.4;295.13;296.5;34689330
SBER;D;250415;000000;296.51;300.45;295.6;297.99;24246330
SBER;D;250416;000000;298.09;303.3;296.06;300.8;30083090
SBER;D;250417;000000;301;305.07;300.41;304.8;37528700
SBER;D;250418;000000;302.7;303.85;296.25;300.01;46057000
SBER;D;250421;000000;302.67;308.7;301.76;308.12;51188620
SBER;D;250422;000000;308.5;315;306.55;312.25;64466770
SBER;D;250423;000000;313;314.98;305.55;310;58824230
SBER;D;250424;000000;310.78;312.8;309.09;310.16;24105720
SBER;D;250425;000000;310.89;317.87;310.71;316.69;51669060
SBER;D;250426;000000;318.42;320.26;317;317.58;9511000
SBER;D;250427;000000;318.2;318.97;317.39;318.18;2238080
SBER;D;250428;000000;318.36;320;313.52;314.23;52304570
